Latitude,Longitude,Altitude
-28.007832365962678,-115.95822001522873,-19.458114817758222
-28.007832365962678,-115.95822001522873,-19.458114817758222
-28.007832365962678,-115.95822001522873,-19.458114817758222
-28.007832365962678,-115.95822001522873,-19.458114817758222
-28.007832365962678,-115.95822001522873,-19.458114817758222
-28.007832365962678,-115.95822001522873,-19.458114817758222
-28.007832365962678,-115.95822001522873,-19.458114817758222
-27.998071006619323,-115.97678423594402,-19.458115114017076
-28.00783249782028,-115.97678416648449,-19.458115156844393
-28.007832365962678,-115.95822001522873,-19.458114817758222
-28.00783249782028,-115.97678416648449,-19.458115156844393
-28.00783249782028,-115.97678416648449,-19.458115156844393
-28.007832365962678,-115.95822001522873,-19.458114817758222
-28.01759385716364,-115.9582199457692,-19.45811486058554
-28.01759385716364,-115.9582199457692,-19.45811486058554
-28.01759385716364,-115.9582199457692,-19.45811486058554
-28.01759385716364,-115.9582199457692,-19.45811486058554
-28.01759385716364,-115.9582199457692,-19.45811486058554
-28.01759385716364,-115.9582199457692,-19.45811486058554
-28.01759341883506,-115.95821812857557,-19.558114861146777
-28.01759385716364,-115.9582199457692,-19.45811486058554
-28.01759385716364,-115.9582199457692,-19.45811486058554
-28.01759341883506,-115.95821812857557,-19.558114861146777
-28.01759341883506,-115.95821812857557,-19.558114861146777
-28.01759341883506,-115.95821812857557,-19.558114861146777
-28.017593286812666,-115.93965397616746,-19.558114524959358
-28.0273547778036,-115.93965390679347,-19.558114567733945
-28.017593286812666,-115.93965397616746,-19.558114524959358
-28.00783179603176,-115.93965404545591,-19.55811448223752
-28.00783179603176,-115.93965404545591,-19.55811448223752
-28.00783179603176,-115.93965404545591,-19.55811448223752
-27.998070173201313,-115.92108996317675,-19.55811410171591
-27.998070173201313,-115.92108996317675,-19.55811410171591
-27.988308682210373,-115.92109003255074,-19.558114058941342
-27.988308682210373,-115.92109003255074,-19.558114058941342
-27.978547059589957,-115.90252595067483,-19.55811367926522
-27.978547059589957,-115.90252595067483,-19.55811367926522
-27.968785568809054,-115.90252601996329,-19.558113636543375
-27.968785568809054,-115.90252601996329,-19.558113636543375
-27.95902407802815,-115.90252608925175,-19.558113593821545
-27.95902407802815,-115.90252608925175,-19.558113593821545
-27.949262455407734,-115.88396200688705,-19.55811321335267
-27.949262455407734,-115.88396200688705,-19.55811321335267
-27.939500964626827,-115.8839620761755,-19.55811317063084
-27.939500964626827,-115.8839620761755,-19.55811317063084
-27.939500964626827,-115.8839620761755,-19.55811317063084
-27.92973947384592,-115.88396214546394,-19.558113127908996
-27.92973947384592,-115.88396214546394,-19.558113127908996
-27.91997754638951,-115.88396039820373,-19.658113085350728
-27.91997754638951,-115.88396039820373,-19.658113085350728
-27.91997754638951,-115.88396039820373,-19.658113085350728
-27.910216055608604,-115.88396046749219,-19.658113042628877
-27.91997754638951,-115.88396039820373,-19.658113085350728
-27.92973960548445,-115.90252629675953,-19.558113465876488
-27.939501096265353,-115.9025262274711,-19.558113508598325
-27.959023772342995,-115.92108842416388,-19.658113929662463
-27.968785394762435,-115.93965250617103,-19.6581143103518
-27.998069998926567,-115.95821645035622,-19.65811477492519
-28.027354603336924,-115.97678039366107,-19.658115242229613
-28.06640069914922,-115.99534426688638,-19.658115750555403
-28.12496946943132,-116.03247033492161,-19.75811668329451
-28.173777188959413,-116.0695982873797,-19.758117572926146
-28.242107891519517,-116.10672610163968,-19.758118549956123
-28.310438595348838,-116.14385391494335,-19.758119527575737
-28.38853034759278,-116.18097983452245,-19.858120550755743
-28.46662267811449,-116.23667172360021,-19.858121910719603
-28.554476502393698,-116.2923635413972,-19.85812331682198
-28.65209137242953,-116.34805346205928,-19.95812476839923
-28.749706691999766,-116.4037452043863,-19.958126222128946
-28.866845133070015,-116.4780009502902,-19.958128103812392
-28.983983261657976,-116.57081901717702,-20.058130329925213
-29.11088320250223,-116.6450746827587,-20.0581322633219
-29.247544640308682,-116.71933027214041,-20.05813424370193
-29.38420562321763,-116.79358402710164,-20.158136229794316
-29.520867347092768,-116.90496790647458,-20.1581388982547
-29.677051784255305,-116.97922333343371,-20.158140980969414
-29.83323650866525,-117.09060705532502,-20.158143752000356
-29.999182265449534,-117.20198885833275,-20.258146573162975
-30.174889991525873,-117.31337241637178,-20.258149446316004
-30.350597727582116,-117.42475596556223,-20.258152326019
-30.536067110994942,-117.55470358157778,-20.258155601242883
-30.721536652162186,-117.70321533767031,-20.25815922791616
-30.926528565994023,-117.83316093619113,-20.358162614073322
-31.141282615815,-117.98167244214495,-20.358166399353493
-31.35603653402266,-118.11161978439077,-20.358169852131162
-31.58055161633886,-118.26012933347465,-20.458173707682228
-31.824590197858534,-118.40864056526081,-20.458177672949795
-32.058867301454264,-118.55715185890216,-20.458181600078696
-32.322429064016674,-118.72422704941772,-20.458186031893227
-32.57622868912111,-118.87273628978974,-20.55819008544855
-32.839790490451534,-119.03981144108472,-20.558194548010427
-33.11311365623453,-119.18832234536686,-20.558198729433848
-33.386436999395045,-119.3553973792952,-20.558203273114565
-33.669521337194695,-119.52247043729488,-20.658207884593807
-33.94284472291279,-119.6895454300199,-20.65821246024438
-34.23569112936979,-119.85662023462508,-20.658217157356418
-34.52853718385286,-120.0422572847421,-20.758222222455167
-34.81162213728495,-120.20933212768728,-20.758226901398174
-35.10446861478713,-120.37640686523358,-20.758231651892693
-35.39731456325262,-120.54347969058777,-20.85823641994584
-35.67063808483453,-120.71055455832197,-20.858241096733913
-35.96348463152783,-120.87762922731807,-20.858245900436323
-36.23680819939352,-121.04470405643414,-20.858250610882664
-36.51013104816517,-121.19321281718433,-20.958254982045446
-36.77369315488012,-121.3602876949803,-20.958259667947388
-37.04701661242102,-121.50879831793335,-20.95826407316224
-37.300817084350086,-121.65730910489009,-20.958268378349914
-37.56437907892428,-121.80581978287611,-20.958272752914944
-37.81817899803054,-121.95432862470058,-21.058277086124356
-38.07197952398537,-122.10283936060927,-21.058281431540202
-38.325780069077986,-122.25135007876555,-21.058285791184183
-38.56981912838706,-122.39986087794477,-21.05829010415345
-38.813857416536464,-122.52980559294876,-21.15829407555153
-39.05789650761024,-122.6783163587861,-21.158298414549343
-39.29217411185033,-122.82682720558529,-21.158302705816
-39.52645173348464,-122.9753380389068,-21.15830700976919
-39.76072918564436,-123.10528471207095,-21.158310969183525
-39.995006216107335,-123.25379358491729,-21.258315296394983
-40.21952237936843,-123.40230447516316,-21.258319574002776
-40.44403855941175,-123.55081535130182,-21.258323864685273
-40.668554564711684,-123.68076206786378,-21.2583278050003
-40.88330863035177,-123.8292710789672,-21.358332054624135
-41.10782485628597,-123.97778191435197,-21.358336378093533
-41.32257959063016,-124.12629283971557,-21.35834064936617
-41.5373343410722,-124.27480375339832,-21.358344931123384
-41.752089107804046,-124.42331465571209,-21.3583492220787
-41.966843234360795,-124.57182359548352,-21.458353526625643
-42.181598030237474,-124.72033447035584,-21.45835783997142
-42.38659133173042,-124.8688454394206,-21.458362098522436
-42.59158464889212,-125.01735639839626,-21.45836636876482
-42.79657798151256,-125.16586734590202,-21.458370648267568
-42.99180981825192,-125.31437839050582,-21.458374873372264
-43.18704119798403,-125.48145160327176,-21.558379471485075
-43.39203477810426,-125.64852666393682,-21.558384147481313
-43.57750514629144,-125.79703778406159,-21.558388333680213
-43.77273724659228,-125.96411293142742,-21.558392963877395
-43.96796936354868,-126.13118807040054,-21.558397602531727
-44.16320170542521,-126.3168273461306,-21.558402620941514
-44.33891103726906,-126.50246683018258,-21.558407514186626
-44.52438120409078,-126.68810421029715,-21.65841248303979
-44.70009056680686,-126.87374367655748,-21.65841739819613
-44.875800157338205,-127.07794728010386,-21.658422691687534
-45.04174916681573,-127.30071712615887,-21.5584282980548
-45.21745879691382,-127.50492071696823,-21.55843361581146
-45.363884321696126,-127.74625292839082,-21.558439480158768
-45.52007138166905,-127.9875850202186,-21.55844542481053
-45.64697390599855,-128.2289174468593,-21.558451175058863
-45.764114927161245,-128.4702499810846,-21.558456865537508
-45.871494443020666,-128.71158262649982,-21.55846249621171
-45.96911266858037,-128.97147952805278,-21.558468446163076
-46.047207865042,-129.23137665506806,-21.558474263663754
-46.12530328912697,-129.50983792590063,-21.55848047188435
-46.193637202292194,-129.7882993090405,-21.558486622893945
-46.24244786136491,-130.04819677481368,-21.558492266535403
-46.30101932645817,-130.30809208393373,-21.658497990935253
-46.35959268406305,-130.6051197669035,-21.55850448840738
-46.408402638645654,-130.86501518094119,-21.65851016562314
-46.457213762039586,-131.1620409286144,-21.65851661721682
-46.49626314796772,-131.44050264888617,-21.65852263147584
-46.535312758030145,-131.73752851093028,-21.658529038809753
-46.5548393193966,-132.03455460329815,-21.65853531944849
-46.58412741153404,-132.3315805812433,-21.658541683767425
-46.60365347004973,-132.64716874174465,-21.758548378301555
-46.603656981173806,-132.94419505912202,-21.758554559592532
-46.60366093109711,-133.27834966771223,-21.758561528869983
-46.623187724518885,-133.59393990027135,-21.758568269205917
-46.62319240551732,-133.92809660777266,-21.658575273198608
-46.593911757787865,-134.26225156785983,-21.65858208155059
-46.57439285851615,-134.61497055631304,-21.65858936931332
-46.545112421055286,-134.96768965973706,-21.658596605881655
-46.49630890683417,-135.32040899280855,-21.658603720548278
